			WELL DATA SUMMARY																																			/ca11..aj12~a112~						{GOTO}r11~/fcceinsert3~
			 																																			/rva59..aj59~a59..aj59~						/wgc6~
		Well	51B-16 Drilling																																			/ma59..ak200~a63~						/rff0~a13..aj200~
		 	 	 	 																																	/ca11..aj12~a60~						/rff~c13..c200~
		Sec Azim	 	 																																		/ppr~gp{esc}{esc}{esc}						{GOTO}C3~WELL DATA SUMMARY~
		Elev	3746	KB																																								{GOTO}Q1~/WCS9~/WCHAH1~
	 	Coords:	North	254769	EAST	2363815																																						/PPOMR240~QQ
	 					 																																						{GOTO}A1~/wcs9~
Casing	 	MD	Drift A.	Drift D.	Azim	TVD	SSD	DNS	DEW	N-S	E-W	N-LAM	E-LAM																															{GOTO}D1~/wcs8~
	 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________																															{GOTO}H1~/wcs9~
	 				 																																							{GOTO}P1~/wcs8~
xxxxx		5273	18	0	30	5195	-1449	82.7	43.0	510.7	320.1	255279.7	2364135.1
xxxxx		5367	19	0	23	5284	-1538	26.7	13.3	537.4	333.4	255306.4	2364148.4
xxxxx		5417	19	0	30	5331	-1585	14.6	7.4	552.0	340.8	255321.0	2364155.8
xxxxx		5449	19	0	31	5361	-1615	9.0	5.4	561.0	346.2	255330.0	2364161.2
xxxxx		5513	18	0	30	5422	-1676	17.5	10.3	578.5	356.4	255347.5	2364171.4
xxxxx	-120bph	5557	17	0	29	5464	-1718	11.4	6.5	589.9	362.9	255358.9	2364177.9
xxxxx		5575	17	0	29	5481	-1735	16.0	9.0	594.4	365.4	255363.4	2364180.4
xxxxx	-35 bph	5602	17	0	27	5507	-1761	6.8	3.6	601.3	369.0	255370.3	2364184.0
xxxxx	-60bph	5630	17	0	25	5534	-1788	7.2	3.5	608.4	372.6	255377.4	2364187.6
xxxxx	-30bbls	5646	17	0	24	5549	-1803	4.2	1.9	612.6	374.4	255381.6	2364189.4
xxxxx		5606	17	0	27	5511	-1765	7.8	4.1	602.3	369.6	255371.3	2364184.6
xxxxx		5668	16	0	26	5571	-1825	15.7	7.7	617.9	377.3	255386.9	2364192.3
xxxxx		5731	15	0	25	5631	-1885	15.3	7.3	633.3	384.6	255402.3	2364199.6
xxxxx		5793	15	0	25	5691	-1945	14.4	6.8	647.6	391.4	255416.6	2364206.4
xxxxx		5850	14	0	22	5746	-2000	12.9	5.6	660.5	397.0	255429.5	2364212.0
xxxxx		5855	14	0	21	5751	-2005	14.0	6.0	661.7	397.4	255430.7	2364212.4
xxxxx		5918	14	0	18	5812	-2066	14.2	5.0	675.8	402.4	255444.8	2364217.4
xxxxx	-30bph	5942	13	0	16	5836	-2090	5.4	1.6	681.2	404.1	255450.2	2364219.1
bot=5960'	5980	13	0	13	5873	-2127	13.9	3.9	689.7	406.3	255458.7	2364221.3
slot=6028'	6043	12	0	15	5934	-2188	13.5	3.4	703.2	409.7	255472.2	2364224.7
sss		6106	11	0	11	5996	-2250	12.5	3.0	715.7	412.7	255484.7	2364227.7
sss		6168	11	0	1	6057	-2311	11.9	1.3	727.6	414.0	255496.6	2364229.0
sss		6231	11	0	354	6119	-2373	12.1	-0.5	739.7	413.5	255508.7	2364228.5
sss		6294	12	0	349	6180	-2434	12.3	-1.8	752.0	411.6	255521.0	2364226.6
sss		6358	10	0	350	6243	-2497	11.8	-2.2	763.8	409.4	255532.8	2364224.4
sss		6420	9	0	348	6304	-2558	10.2	-2.0	774.0	407.4	255543.0	2364222.4
sss		6483	9	0	341	6366	-2620	9.5	-2.7	783.6	404.8	255552.6	2364219.8
sss		6545	9	0	338	6428	-2682	8.9	-3.3	792.4	401.4	255561.4	2364216.4
sss		6608	8	0	334	6490	-2744	8.3	-3.7	800.7	397.7	255569.7	2364212.7
sss		6702	8	0	327	6583	-2837	11.4	-6.4	812.1	391.3	255581.1	2364206.3
sss		6734	8	0	326	6615	-2869	3.7	-2.5	815.8	388.8	255584.8	2364203.8
sss		6766	8	0	324	6647	-2901	3.7	-2.6	819.5	386.3	255588.5	2364201.3
sss		6830	9	0	322	6710	-2964	7.5	-5.6	827.0	380.6	255596.0	2364195.6
sss		6867	10	0	318	6746	-3000	4.6	-3.8	831.6	376.8	255600.6	2364191.8
sss		6895	10	0	315	6774	-3028	8.1	-7.1	835.1	373.5	255604.1	2364188.5
sss		6985	11	0	308	6862	-3116	11.0	-12.4	846.1	361.1	255615.1	2364176.1
sss		7021	10	0	310	6898	-3152	4.1	-5.1	850.2	356.1	255619.2	2364171.1
sss		7052	10	0	308	6928	-3182	3.4	-4.2	853.7	351.8	255622.7	2364166.8
