		WELL DATA SUMMARY														
		 														
	Well	38C-9 Proposed														
	 	 	 	 												
	Sec Azim	260.0	 													
	Elev	3856.0	KB													
 	Coords:	North	256195	EAST			2362121									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
	6473	14.3	0	284	215	54	6395	-2539	13.0	-52.1	183.3	-524.1	49.1	484.3	256378	2361597
	6661	15.0	0	286	182	47	6577	-2721	12.3	-45.9	195.6	-569.9	43.0	527.3	256391	2361551
-30bbls@cnx	6688	15.0	0	286	26	7	6603	-2747	1.9	-6.7	197.5	-576.6	6.3	533.6	256393	2361544
	6838	15.3	0	288	171	46	6748	-2892	13.5	-44.2	209.1	-614.1	41.2	568.5	256404	2361507
-200bph	6847	15.2	0	288	9	2	6757	-2901	0.7	-2.2	209.8	-616.3	2.1	570.5	256405	2361505
	6930	14.8	0	285	89	24	6837	-2981	6.8	-22.8	215.8	-636.9	21.3	589.8	256411	2361484
	6950	14.8	0	285	19	5	6856	-3000	1.3	-4.9	217.2	-641.8	4.6	594.4	256412	2361479
-80bph	6992	14.8	0	286	60	16	6897	-3041	4.2	-15.3	220.0	-652.2	14.3	604.1	256415	2361469
	7160	15.0	0	287	222	59	7059	-3203	16.3	-56.8	232.1	-693.7	53.1	642.8	256427	2361427
	7379	14.8	0	285	212	56	7271	-3415	15.5	-54.0	247.6	-747.7	50.5	693.4	256443	2361373
	7592	14.5	0	286	206	54	7477	-3621	14.4	-51.8	262.0	-799.5	48.5	741.9	256457	2361321
-65bbls	7794	12.9	0	287	196	48	7673	-3817	13.6	-45.9	275.5	-845.5	42.9	784.8	256471	2361276
	7818	12.8	0	287	220	53	7696	-3840	15.1	-51.0	277.1	-850.6	47.6	789.5	256472	2361270
	7943	13.3	76	284	122	28	7818	-3962	7.5	-27.1	284.6	-877.7	25.4	814.9	256480	2361243
	7982	13.5	58	284	38	9	7856	-4000	2.2	-8.8	286.8	-886.4	8.2	823.2	256482	2361235
	8106	14.5	0	285	158	39	7976	-4120	9.8	-37.8	294.4	-915.5	35.6	850.5	256489	2361205
	8295	13.5	0	288	183	46	8160	-4304	13.0	-43.8	307.4	-959.4	40.9	891.4	256502	2361162
	8413	13.5	0	289	115	28	8275	-4419	8.7	-26.1	316.1	-985.5	24.2	915.6	256511	2361136
	8630	13.0	0	288	211	50	8486	-4630	15.8	-47.2	331.9	-1032.7	43.7	959.3	256527	2361088
-180bph	8642	13.0	4	288	12	3	8497	-4641	0.8	-2.6	332.7	-1035.2	2.4	961.7	256528	2361086
	8827	12.8	67	293	192	44	8678	-4822	15.4	-41.1	347.3	-1073.8	37.8	997.2	256542	2361047
	9009	11.9	31	294	178	39	8856	-5000	15.4	-35.7	362.6	-1109.5	32.5	1029.7	256558	2361011
lc	9043	11.8	24	294	33	7	8889	-5033	2.8	-6.4	365.4	-1115.9	5.8	1035.5	256560	2361005
	9162	11.3	0	294	328	70	9006	-5150	27.8	-63.9	375.0	-1137.6	58.1	1055.2	256570	2360983
TD	9606	11.3	0	294	435	87	9441	-5585	35.2	-79.1	410.3	-1216.8	71.8	1127.0	256605	2360904
