		WELL DATA SUMMARY														
		 														
	Well	BLMN 33-7														
	 	 	 	 												
	Sec Azim	335.0	 													
	Elev	4215.0	KB													
 	Coords:	North	258644.0	EAST			2351584									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
LC	5026	11.5	53.9	250	85	16	5020	-805	-5.2	-15.0	-29.0	-35.9	1.6	-11.1	258615	2351548
 	5050	12.0	69.0	249	108	21	5044	-829	-6.9	-19.6	-30.7	-40.5	2.0	-10.7	258613	2351543
	5100	11.5	45.0	247	49	10	5092	-877	-3.8	-9.4	-34.5	-49.9	0.6	-10.1	258610	2351534
 	5194	10.5	0.0	244	141	28	5185	-970	-11.2	-25.8	-41.9	-66.3	0.7	-10.0	258602	2351518
	5200	10.5	0.0	244	6	1	5191	-976	-0.5	-1.0	-42.4	-67.2	0.0	-10.0	258602	2351517
	5225	10.4	0.0	244	30	6	5215	-1000	-2.5	-5.1	-44.3	-71.3	-0.1	-10.0	258600	2351512
 	5287	10.3	0.0	244	91	17	5276	-1061	-7.3	-15.1	-49.2	-81.3	-0.3	-10.2	258595	2351502
	5300	10.6	0.0	245	13	2	5289	-1074	-1.0	-2.1	-50.2	-83.4	0.0	-10.3	258594	2351500
LC	5316	10.9	0.0	247	29	5	5305	-1090	-2.2	-4.8	-51.4	-86.2	0.0	-10.2	258593	2351498
 	5319	11.0	0.0	247	31	6	5308	-1093	-2.4	-5.4	-51.7	-86.7	0.1	-10.2	258592	2351497
 	5351	12.0	0.0	257	31	6	5339	-1124	-2.0	-6.1	-53.6	-92.7	0.8	-9.4	258590	2351491
	5400	12.0	0.0	259	48	10	5387	-1172	-2.1	-10.0	-55.7	-102.7	2.3	-7.1	258588	2351481
 	5414	12.0	0.0	260	62	13	5401	-1186	-2.6	-12.8	-56.2	-105.6	3.1	-6.4	258588	2351478
 	5446	12.0	0.0	263	31	7	5432	-1217	-1.0	-6.6	-57.2	-112.2	1.9	-4.5	258587	2351472
 	5477	11.3	0.0	266	30	6	5462	-1247	-0.6	-6.2	-57.8	-118.4	2.1	-2.4	258586	2351465
	5500	10.9	0.0	263	23	4	5485	-1270	-0.4	-4.4	-58.2	-122.8	1.5	-0.9	258586	2351461
-250 bph	5548	10.3	0.0	258	70	13	5532	-1317	-1.8	-13.1	-59.7	-131.5	3.9	1.5	258584	2351452
 	5550	10.3	0.0	258	72	14	5534	-1319	-1.9	-13.5	-59.7	-131.9	4.0	1.6	258584	2351452
lc	5575	10.2	0.0	261	25	4	5559	-1344	-0.8	-4.4	-60.5	-136.2	1.1	2.7	258583	2351448
	5600	10.1	0.0	264	25	4	5583	-1368	-0.6	-4.4	-61.1	-140.6	1.3	4.0	258583	2351443
lc	5606	10.0	0.0	265	31	5	5589	-1374	-0.7	-5.4	-61.2	-141.6	1.7	4.4	258583	2351442
 	5614	10.0	0.0	266	63	11	5597	-1382	-1.6	-11.1	-61.3	-143.0	3.3	4.9	258583	2351441
 	5677	10.0	0.0	256	62	11	5659	-1444	-1.7	-10.8	-63.0	-153.8	3.0	7.9	258581	2351430
	5700	10.0	0.0	255	23	4	5682	-1467	-1.0	-3.9	-64.0	-157.7	0.7	8.6	258580	2351426
drill break bph	5712	10.0	0.0	255	34	6	5694	-1479	-1.5	-5.9	-64.5	-159.7	1.1	9.0	258579	2351424
 	5739	10.0	0.0	254	61	11	5720	-1505	-2.8	-10.4	-65.8	-164.2	1.9	9.8	258578	2351420
	5800	10.5	0.0	255	60	11	5780	-1565	-2.9	-10.4	-68.7	-174.7	1.8	11.5	258575	2351409
 	5834	10.8	0.0	255	93	17	5814	-1599	-4.6	-16.5	-70.4	-180.7	2.8	12.6	258574	2351403
