	Well 43-7															
	Elev  4187 KB			Coords:	North  258211		EAST  2352266									
 																
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 				 												
 	1700	0.5	66.0	66.0	191.0	1.7	1700.0	2487.0	-0.1	1.7	4.4	7.6	-0.1	4.4	258215.376	2352273.554
 	1857	0.5	45.0	45.0	157.0	1.4	1857.0	2330.0	0.8	1.1	5.2	8.7	0.8	5.2	258216.152	2352274.683
"100#,50F"	2001	1.4	55.4	55.4	144.0	2.3	2000.9	2186.1	1.5	1.8	6.7	10.5	1.5	6.7	258217.6549	2352276.488
"80#,7F"	2018	1.5	56.7	56.7	17.0	0.4	2017.9	2169.1	0.2	0.3	6.9	10.8	0.2	6.9	258217.8902	2352276.838
 	2147	2.3	66.0	66.0	289.9	7.0	2146.9	2040.1	3.9	5.7	9.1	14.4	3.9	9.1	258220.0935	2352280.418
	2187	2.3	66.0	66.0	40.0	1.6	2186.8	2000.2	0.6	1.5	9.7	15.9	0.6	9.7	258220.7435	2352281.878
"12#,7F"	2234	2.4	66.0	66.0	47.0	1.9	2233.8	1953.2	0.8	1.8	10.5	17.7	0.8	10.5	258221.5356	2352283.657
"15#,4F"	2250	2.5	66.0	66.0	16.0	0.7	2249.8	1937.2	0.3	0.6	10.8	18.3	0.3	10.8	258221.8124	2352284.279
 	2274	2.5	66.0	66.0	126.9	5.3	2273.8	1913.2	2.1	4.8	11.2	19.2	2.1	11.2	258222.2341	2352285.226
 	2409	2.5	65.0	65.0	134.9	5.9	2408.6	1778.4	2.4	5.4	13.7	24.6	2.4	13.7	258224.6761	2352290.585
 	2561	1.8	50.0	50.0	151.9	5.6	2560.5	1626.5	3.0	4.8	16.7	29.3	3.0	16.7	258227.7044	2352295.338
Tie-In	2742	1.3	85.0	85.0	180.9	4.7	2741.5	1445.5	1.8	4.4	18.5	33.7	1.8	18.5	258229.5176	2352299.715
"115#,23F"	2765	1.3	77.6	89.4	23.0	0.5	2764.5	1422.5	0.0	0.5	18.5	34.2	0.0	18.5	258229.5425	2352300.23
"20#,7F"	2935	1.8	22.9	122.3	169.9	4.6	2934.4	1252.6	-1.3	4.4	17.3	38.7	-1.3	17.3	258228.28	2352304.672
392F	3006	2.0	0.0	136.0	263.9	7.5	3005.4	1181.6	-2.6	7.0	15.9	40.7	-2.6	15.9	258226.8957	2352306.728
110F	3108	5.0	0.0	140.0	101.8	6.2	3107.2	1079.8	-4.6	4.2	11.3	44.9	-4.6	11.3	258222.2682	2352310.894
 	3188	6.3	0.0	158.9	79.6	7.9	3186.8	1000.2	-6.8	4.0	4.5	48.9	-6.8	4.5	258215.4903	2352314.893
124F	3201	6.5	0.0	162.0	92.5	9.3	3199.7	987.3	-8.1	4.5	3.1	49.4	-8.1	3.1	258214.119	2352315.412
#Drillbreak	3280	6.7	0.0	188.9	78.5	9.1	3278.2	908.8	-9.1	0.7	-5.9	50.1	-9.1	-5.9	258205.0652	2352316.134
123F	3298	6.8	0.0	195.0	96.4	11.2	3296.1	890.9	-11.2	0.3	-8.1	49.7	-11.2	-8.1	258202.9318	2352315.705
